"fasta","Trehalose","HeatShockProtein","proline","Glutamate","GlycineBetaine","DNARepair","Ectoine","sucrose","mannitol","why_domain"
"JW016.maxbin.004",0,1,1,1,0,1,0,0,0,0
"JW016.metabat.5_sub",0,1,1,1,0,1,0,0,0,0
"JW020.maxbin.002_sub",0,1,0,1,0,1,0,0,0,0
"JW031.metabat.8",0,1,0,0,1,1,0,0,0,0
"JW035.maxbin.001",0,1,0,0,0,1,0,0,0,1
"JW036.metabat.15",0,1,1,1,0,1,0,0,0,0
"JW046.metabat.3",0,1,0,0,0,1,0,0,0,0
"JW074.metabat.5",0,1,0,0,0,0,0,0,0,0
"JW082.metabat.8",0,1,1,0,0,1,0,0,0,0
"JW100.metabat.1",0,1,1,0,1,0,0,0,0,0
"JW123.maxbin.005_sub",0,1,0,0,1,1,0,0,0,0
"JW130.metabat.3",0,1,0,1,0,1,0,0,0,0
"JW135.metabat.1",0,1,1,1,0,1,0,0,0,0
"JW138.metabat.7",0,1,0,1,0,1,0,0,0,0
"JW155.metabat.9",0,1,1,1,0,1,0,0,0,0
"JW003.metabat.1",0,1,0,0,0,1,0,0,0,0
"JW016.metabat.24_sub",0,1,1,1,1,1,0,0,0,0
"JW040.metabat.11",0,1,0,0,0,1,0,0,0,0
"JW048.metabat.3",0,1,1,0,0,1,0,0,0,0
"JW058.metabat.5",0,1,0,1,0,1,0,0,0,0
"JW062.metabat.4",0,1,0,0,0,1,0,0,0,0
"JW074.metabat.1",0,1,0,0,0,1,0,0,0,0
"JW077.maxbin.001",0,1,0,0,0,1,0,0,0,0
"JW127.metabat.7",0,1,1,1,0,0,0,0,0,0
"JW016.metabat.11_sub",0,1,0,1,0,1,0,0,0,0
"JW057.metabat.5",0,1,0,0,1,1,0,0,0,0
"JW072.metabat.7",0,1,0,1,0,1,0,0,0,0
"JW129.metabat.8",0,1,1,1,1,1,0,0,0,0
"JW141.metabat.1",0,1,1,0,1,1,0,0,0,0
"JW020.metabat.5",0,0,1,1,0,1,0,0,0,0
"JW017.metabat.6",0,0,1,0,0,1,0,0,0,0
"JW045.metabat.7",0,0,1,0,0,1,0,1,0,0
"JW128.maxbin.002",0,0,0,1,0,1,0,0,0,0
"JW129.metabat.7",0,0,0,1,0,1,0,0,0,0
"JW111.maxbin.002",0,0,0,0,1,1,0,0,0,0
"JW032.metabat.5",0,0,0,0,0,1,0,0,0,1
"JW082.metabat.6",0,0,0,0,0,1,0,0,0,0
"JW071.metabat.6",0,0,0,0,0,1,0,0,0,0
"JW072.maxbin.002",0,0,0,0,0,1,0,0,0,0
"JW144.metabat.7",0,0,0,0,0,1,0,0,0,0
"JW044.maxbin.029",0,0,0,0,0,1,0,0,0,0
