"","X","user_genome","phylum"
"121",90,"JW115.metabat.6","pProteobacteria"
"122",91,"JW116.metabat.4","pProteobacteria"
"123",92,"JW119.maxbin.001","pProteobacteria"
"124",95,"JW123.maxbin.005_sub","pProteobacteria"
"125",96,"JW127.metabat.7","pProteobacteria"
"126",101,"JW132.metabat.1","pProteobacteria"
"127",111,"JW147.maxbin.007","pProteobacteria"
"128",122,"JW154.maxbin.001","pProteobacteria"
"129",1,"JW003.metabat.1","pThermoproteota"
"130",3,"JW057.metabat.1","pThermoproteota"
"131",4,"JW058.maxbin.002","pThermoproteota"
"132",5,"JW058.metabat.5","pThermoproteota"
"133",6,"JW062.metabat.4","pThermoproteota"
"134",7,"JW071.metabat.6","pThermoproteota"
"135",8,"JW072.maxbin.002","pThermoproteota"
"136",9,"JW074.metabat.1","pThermoproteota"
"137",10,"JW077.maxbin.001","pThermoproteota"
"138",11,"JW128.maxbin.002","pThermoproteota"
"139",12,"JW129.metabat.5","pThermoproteota"
"140",13,"JW129.metabat.7","pThermoproteota"
"141",14,"JW144.metabat.7","pThermoproteota"
"142",87,"JW111.maxbin.002","pVerrucomicrobiota"
"143",114,"JW148.metabat.7","pVerrucomicrobiota"
